                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),     metrics/IOU(pixel),      metrics/PA(pixel),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.01006,                0.01904,                 1.0891,                 1.6871,                0.32542,                0.18123,                0.18383,                 0.0915,                0.24276,                0.12312,                 0.1084,                0.04096,                0.07284,                0.39216,                0.00731,                0.01668,                0.67241,                 1.3073,             0.00038318,             0.00038318,             0.00038318
                      2,                0.00679,                0.01524,                0.56378,                 1.1846,                0.45325,                 0.3306,                0.31605,                0.17587,                0.35955,                0.26086,                0.21728,                0.09374,                0.09861,                0.41418,                0.00616,                0.01449,                0.48502,                 1.1225,              0.0007406,              0.0007406,              0.0007406
                      3,                0.00631,                0.01453,                0.51606,                 1.1219,                0.51143,                0.34301,                0.35749,                0.20575,                0.40315,                0.26357,                0.23926,                0.11152,                0.10974,                0.42062,                0.00587,                0.01442,                0.45923,                 1.0833,              0.0007597,              0.0007597,              0.0007597
                      4,                0.00601,                0.01403,                0.48096,                 1.0905,                0.50464,                0.35093,                0.34851,                0.19565,                0.36764,                  0.258,                0.22366,                0.09724,                0.11225,                 0.4216,                 0.0058,                0.01408,                0.46433,                  1.077,              0.0007597,              0.0007597,              0.0007597
                      5,                0.00592,                0.01395,                0.47127,                  1.083,                0.52586,                0.32987,                0.35893,                 0.2033,                0.42176,                0.25905,                 0.2457,                0.10534,                0.10539,                0.41635,                0.00576,                0.01421,                0.44435,                 1.0722,             0.00072304,             0.00072304,             0.00072304
                      6,                0.00588,                0.01386,                0.46288,                 1.0755,                0.51683,                0.35663,                0.37363,                0.21505,                0.38562,                0.26743,                0.24223,                0.10925,                 0.1131,                0.42285,                0.00569,                0.01387,                0.43713,                 1.0632,             0.00068639,             0.00068639,             0.00068639
                      7,                0.00575,                0.01361,                0.45056,                 1.0636,                0.48609,                0.37004,                0.36722,                0.21486,                0.40244,                 0.2649,                0.25929,                0.11959,                0.11952,                0.42223,                0.00564,                0.01377,                0.44215,                 1.0633,             0.00064974,             0.00064974,             0.00064974
                      8,                0.00573,                0.01353,                0.44583,                 1.0604,                0.51919,                0.37757,                0.38854,                 0.2287,                0.53168,                0.26473,                0.27259,                0.12566,                0.11289,                0.41954,                0.00556,                0.01359,                0.42428,                 1.0551,             0.00061309,             0.00061309,             0.00061309
                      9,                0.00564,                0.01341,                0.43947,                 1.0528,                0.54509,                0.39193,                0.40279,                0.24001,                0.43909,                0.29375,                0.28585,                0.13808,                0.10037,                0.41782,                0.00549,                0.01357,                0.42108,                 1.0472,             0.00057644,             0.00057644,             0.00057644
                     10,                0.00562,                0.01342,                0.43658,                 1.0526,                0.64395,                0.34445,                0.41972,                0.24831,                0.56914,                0.26755,                0.29683,                0.13335,                0.10659,                0.41888,                0.00546,                0.01348,                0.41077,                 1.0507,             0.00053978,             0.00053978,             0.00053978
                     11,                0.00521,                  0.013,                0.39324,                 1.0224,                0.49898,                0.38604,                0.39269,                0.23093,                0.40446,                0.29014,                0.26586,                0.12226,                0.10246,                0.41725,                0.00552,                0.01356,                 0.4212,                 1.0531,             0.00050313,             0.00050313,             0.00050313
                     12,                0.00507,                0.01277,                0.37671,                 1.0098,                0.52613,                0.37361,                0.39013,                0.22492,                0.43255,                0.30218,                 0.2839,                0.12625,                0.11102,                0.42048,                0.00548,                0.01355,                0.41845,                 1.0529,             0.00046648,             0.00046648,             0.00046648
                     13,                0.00504,                0.01266,                0.36938,                 1.0018,                0.58627,                0.35428,                0.39822,                 0.2379,                0.51022,                0.27335,                0.28455,                0.13043,                 0.1205,                0.42299,                0.00543,                 0.0134,                0.41437,                 1.0405,             0.00042983,             0.00042983,             0.00042983
                     14,                0.00502,                 0.0126,                0.36724,                0.99839,                0.66311,                0.34115,                0.38963,                0.22903,                0.57541,                0.27376,                 0.2812,                0.12777,                0.12879,                0.42463,                0.00546,                0.01343,                0.41347,                 1.0425,             0.00039318,             0.00039318,             0.00039318
                     15,                0.00495,                0.01257,                0.36277,                0.99578,                0.65279,                0.35595,                0.40482,                0.24435,                0.54134,                0.29339,                 0.2959,                0.14083,                0.12228,                0.42375,                 0.0054,                0.01339,                0.41251,                 1.0397,             0.00035652,             0.00035652,             0.00035652
                     16,                0.00493,                0.01247,                0.35791,                0.99233,                0.57414,                0.35582,                0.40692,                0.24222,                0.48503,                0.28977,                0.29557,                 0.1375,                0.13123,                 0.4256,                0.00544,                0.01335,                 0.4099,                  1.038,             0.00031987,             0.00031987,             0.00031987
                     17,                 0.0049,                0.01246,                 0.3554,                0.98924,                0.62201,                 0.3531,                0.41542,                0.25022,                0.55566,                 0.2783,                0.29544,                0.14147,                0.11831,                0.42236,                0.00541,                0.01334,                0.40966,                 1.0353,             0.00028322,             0.00028322,             0.00028322
                     18,                0.00493,                0.01249,                 0.3559,                0.98997,                 0.5212,                0.37186,                0.40656,                0.24359,                0.53441,                 0.2834,                0.29725,                0.13698,                0.12223,                0.42408,                0.00541,                0.01333,                 0.4035,                   1.04,             0.00024657,             0.00024657,             0.00024657
                     19,                0.00489,                0.01247,                0.35366,                0.98655,                0.52484,                0.35361,                0.39469,                0.23252,                0.54924,                0.27648,                0.28571,                0.12955,                0.12478,                0.42431,                0.00538,                0.01328,                0.40557,                 1.0344,             0.00020992,             0.00020992,             0.00020992
                     20,                0.00486,                 0.0123,                0.34804,                0.98329,                0.60729,                0.35984,                 0.4113,                0.24478,                 0.5417,                0.28782,                0.30469,                0.14092,                0.13175,                0.42544,                0.00536,                0.01322,                0.40442,                 1.0314,             0.00017326,             0.00017326,             0.00017326
